Question;Answer
"Combien coûte un lavage dans une laverie Wash.ME ?";"Le prix d'un lavage dans nos laveries automatiques Wash.ME dépend de la capacité de la machine utilisée. Chez Wash.ME, nous vous proposons des machines de 3 capacités différentes pour répondre à tous les besoins : à 9 kg (laveries extérieures) : à partir de 5 € à 12 kg (laveries intérieures) : à partir de 7 € à 20 kg (laveries extérieures) : à partir de 12 €. Les tarifs d'un lavage sont entendus ""à partir de"" car ils dépendent également des options éventuelles que vous souhaitez ajouter : prélavage, assouplissant, désinfectant... Dans tous les cas, la lessive hypoallergénique et écologique est incluse."
"Combien coûte un séchage dans une laverie Wash.ME ?";"Le prix d'un séchage dans nos laveries automatiques Wash.ME dépend de la capacité du sèche-linge sélectionné et du temps de séchage souhaité. Chez Wash.ME, nous vous proposons des machines de 2 capacités différentes : à 12 kg : entre 2 € et 12 € selon le temps de séchage souhaité (15 min = 2 € et 90 min = 12 €) à 20 kg (laveries extérieures uniquement) : entre 3 € et 12 € selon le temps de séchage souhaité (20 min = 3 € et 80 min = 12 €)."
"Quelle est la capacité des machines à laver Wash.ME ?";"Les laveries Wash.ME sont équipées de lave-linges de capacité 9 kg, 12 kg ou 20 kg selon le type de laverie que vous utilisez. Pour un lavage d'une qualité optimale, nous vous conseillons de ne pas surcharger les machines au-delà du poids indiqué. Un autocollant est présent sur tous les hublots indiquant le niveau de remplissage maximal."
"Quelle est la capacité des sèche-linges Wash.ME ?";"Les laveries Wash.ME sont équipées de sèche-linges de capacité 12 kg et 20 kg selon le type de laverie. Les laveries automatiques en extérieur proposent des sèche-linges de 12 kg et 20 kg. Les laveries intérieures (entrée de magasin) proposent une capacité de 12 kg. Pour un séchage efficace, ne surchargez pas la machine."
"Quels moyens de paiement sont acceptés dans les laveries Wash.ME ?";"Nos laveries acceptent les paiements par carte bancaire (avec et sans contact) ainsi que les paiements par smartphone (Apple Pay). Certaines sont équipées d'un monnayeur pour les espèces (pièces et billets). Attention, les monnayeurs ne rendent pas la monnaie, pensez à faire l'appoint."
"Est-il possible de recevoir une preuve d'achat car je n'ai pas obtenu de ticket ?";"Depuis le 1er août 2023, les tickets papier ne sont plus systématiques. Nos laveries Wash.ME n'impriment plus de tickets, mais vous pouvez recevoir votre preuve d'achat par email. Il suffit de sélectionner l'option ""Envoi du ticket de caisse par email"" au moment du paiement et de saisir votre adresse."
"Puis-je demander un remboursement ?";"Vous pouvez être éligible au remboursement en cas de dysfonctionnement avéré et sous réserve du respect des consignes. Complétez le formulaire en ligne (https://contact.wash-megroup.com/fr/demande-remboursement) avec un justificatif de paiement et une preuve photo du problème sous 21 jours maximum."
"Comment utiliser un code promo sur une laverie Wash.ME ?";"Choisissez un code promo dans votre application. Après avoir validé votre cycle, cliquez sur le bouton ""Ajouter un code promo"" lors du récapitulatif de commande. Saisissez votre code sur le clavier numérique pour appliquer la remise avant de payer."
"Comment générer un code promo dans l'application Wash.ME ?";"Cumulez des points en utilisant nos laveries et en complétant votre profil. Une fois un palier atteint, rendez-vous dans l'onglet ""Fidélité"", sélectionnez votre avantage (adoucissant, remise, cycle offert) et cliquez sur ""Obtenir ce code"". Il sera disponible dans ""Mes codes promos""."
"Comment cumuler des points dans le programme de fidélité ?";"Chaque paiement (lavage ou séchage) vous rapporte des points. Vous pouvez booster votre solde en complétant votre profil (prénom, anniversaire, téléphone, favoris). Retrouvez votre solde directement dans la rubrique ""Fidélité"" de l'application."
"Comment fonctionne une machine à laver Wash.ME ?";"1. Videz vos poches. 2. Chargez le linge (ne pas ajouter de lessive extérieure, elle est incluse). 3. Utilisez l'écran tactile : sélectionnez ""Lavage"", la capacité, la température et les options. Payez pour lancer le cycle. Note : sur certains modèles, la température se règle directement sur la machine."
"Comment fonctionne un sèche-linge Wash.ME ?";"1. Videz les poches. 2. Chargez le linge humide et verrouillez la porte. 3. Sur l'écran : sélectionnez ""Séchage"", la température et la durée. Vérifiez la commande, payez et cliquez sur ""Démarrer""."
"Les laveries Wash.ME sont-elles accessibles aux PMR ?";"Nos laveries extérieures sont parfaitement adaptées aux Personnes à Mobilité Réduite (PMR), avec des écrans à hauteur d'homme et des machines au sol. Cependant, les laveries intérieures (en colonnes verticales) ne sont pas entièrement adaptées."
